 Date,Close
12-31-2019,72.91
12-30-2019,72.38
12-27-2019,71.95
12-26-2019,71.98
12-24-2019,70.58
12-23-2019,70.51
12-20-2019,69.38
12-19-2019,69.53
12-18-2019,69.46
12-17-2019,69.62
12-16-2019,69.49
12-13-2019,68.32
12-12-2019,67.4
12-11-2019,67.23
12-10-2019,66.66
12-09-2019,66.27
12-06-2019,67.21
12-05-2019,65.94
12-04-2019,64.99
12-03-2019,64.42
12-02-2019,65.59
11-29-2019,66.35
11-27-2019,66.5
11-26-2019,65.62
11-25-2019,66.14
11-22-2019,65
11-21-2019,65.05
11-20-2019,65.35
11-19-2019,66.12
11-18-2019,66.32
11-15-2019,65.98
11-14-2019,65.21
11-13-2019,65.66
11-12-2019,65.04
11-11-2019,65.1
11-08-2019,64.59
11-07-2019,64.41
11-06-2019,63.68
11-05-2019,63.65
11-04-2019,63.74
11-01-2019,63.33
10-31-2019,61.58
10-30-2019,60.22
10-29-2019,60.22
10-28-2019,61.65
10-25-2019,61.04
10-24-2019,60.3
10-23-2019,60.2
10-22-2019,59.4
10-21-2019,59.54
10-18-2019,58.52
10-17-2019,58.24
10-16-2019,58.02
10-15-2019,58.25
10-14-2019,58.39
10-11-2019,58.47
10-10-2019,56.96
10-09-2019,56.2
10-08-2019,55.55
10-07-2019,56.21
10-04-2019,56.19
10-03-2019,54.66
10-02-2019,54.2
10-01-2019,55.6
09-30-2019,55.44
09-27-2019,54.17
09-26-2019,54.43
09-25-2019,54.71
09-24-2019,53.89
09-23-2019,54.14
09-20-2019,53.9
09-19-2019,54.7
09-18-2019,55.15
09-17-2019,54.63
09-16-2019,54.43
09-13-2019,54.15
09-12-2019,55.22
09-11-2019,55.35
09-10-2019,53.64
09-09-2019,53.02
09-06-2019,52.79
09-05-2019,52.8
09-04-2019,51.78
09-03-2019,50.92
08-30-2019,51.67
08-29-2019,51.74
08-28-2019,50.88
08-27-2019,50.54
08-26-2019,51.12
08-23-2019,50.16
08-22-2019,52.59
08-21-2019,52.64
08-20-2019,52.07
08-19-2019,52.07
08-16-2019,51.12
08-15-2019,49.94
08-14-2019,50.19
08-13-2019,51.73
08-12-2019,49.63
08-09-2019,49.75
08-08-2019,50.17
08-07-2019,49.08
08-06-2019,48.58
08-05-2019,47.68
08-02-2019,50.31
08-01-2019,51.4
07-31-2019,52.54
07-30-2019,51.49
07-29-2019,51.71
07-26-2019,51.23
07-25-2019,51.05
07-24-2019,51.46
07-23-2019,51.5
07-22-2019,51.1
07-19-2019,49.96
07-18-2019,50.72
07-17-2019,50.15
07-16-2019,50.43
07-15-2019,50.61
07-12-2019,50.14
07-11-2019,49.75
07-10-2019,50.12
07-09-2019,49.63
07-08-2019,49.33
07-05-2019,50.36
07-03-2019,50.41
07-02-2019,49.99
07-01-2019,49.7
06-28-2019,48.81
06-27-2019,49.26
06-26-2019,49.27
06-25-2019,48.23
06-24-2019,48.97
06-21-2019,49.02
06-20-2019,49.19
06-19-2019,48.8
06-18-2019,48.94
06-17-2019,47.81
06-14-2019,47.53
06-13-2019,47.88
06-12-2019,47.89
06-11-2019,48.04
06-10-2019,47.49
06-07-2019,46.89
06-06-2019,45.68
06-05-2019,45.02
06-04-2019,44.3
06-03-2019,42.74
05-31-2019,43.17
05-30-2019,43.97
05-29-2019,43.74
05-28-2019,43.95
05-24-2019,44.14
05-23-2019,44.31
05-22-2019,45.07
05-21-2019,46.02
05-20-2019,45.15
05-17-2019,46.61
05-16-2019,46.88
05-15-2019,47.08
05-14-2019,46.52
05-13-2019,45.8
05-10-2019,48.63
05-09-2019,49.31
05-08-2019,49.84
05-07-2019,49.83
05-06-2019,51.22
05-03-2019,52.02
05-02-2019,51.38
05-01-2019,51.72
04-30-2019,49.3
04-29-2019,50.26
04-26-2019,50.19
04-25-2019,50.43
04-24-2019,50.89
04-23-2019,50.97
04-22-2019,50.25
04-18-2019,50.08
04-17-2019,49.9
04-16-2019,48.95
04-15-2019,48.94
04-12-2019,48.85
04-11-2019,48.87
04-10-2019,49.28
04-09-2019,49.01
04-08-2019,49.16
04-05-2019,48.4
04-04-2019,48.07
04-03-2019,47.99
04-02-2019,47.66
04-01-2019,46.98
03-29-2019,46.66
03-28-2019,46.36
03-27-2019,46.3
03-26-2019,45.89
03-25-2019,46.37
03-22-2019,46.93
03-21-2019,47.93
03-20-2019,46.22
03-19-2019,45.82
03-18-2019,46.19
03-15-2019,45.72
03-14-2019,45.14
03-13-2019,44.64
03-12-2019,44.44
03-11-2019,43.95
03-08-2019,42.48
03-07-2019,42.38
03-06-2019,42.87
03-05-2019,43.12
03-04-2019,43.2
03-01-2019,42.98
02-28-2019,42.54
02-27-2019,42.96
02-26-2019,42.83
02-25-2019,42.8
02-22-2019,42.49
02-21-2019,42.02
02-20-2019,42.26
02-19-2019,41.99
02-15-2019,41.87
02-14-2019,41.96
02-13-2019,41.81
02-12-2019,41.98
02-11-2019,41.62
02-08-2019,41.86
02-07-2019,41.81
02-06-2019,42.62
02-05-2019,42.61
02-04-2019,41.89
02-01-2019,40.73
01-31-2019,40.71
01-30-2019,40.42
01-29-2019,37.84
01-28-2019,38.23
01-25-2019,38.59
01-24-2019,37.35
01-23-2019,37.65
01-22-2019,37.5
01-18-2019,38.36
01-17-2019,38.13
01-16-2019,37.9
01-15-2019,37.44
01-14-2019,36.69
01-11-2019,37.25
01-10-2019,37.62
01-09-2019,37.5
01-08-2019,36.88
01-07-2019,36.19
01-04-2019,36.27
01-03-2019,34.78
01-02-2019,38.63
12-31-2018,38.59
12-28-2018,38.22
12-27-2018,38.2
12-26-2018,38.45
12-24-2018,35.92
12-21-2018,36.87
12-20-2018,38.36
12-19-2018,39.36
12-18-2018,40.62
12-17-2018,40.1
12-14-2018,40.48
12-13-2018,41.82
12-12-2018,41.36
12-11-2018,41.25
12-10-2018,41.49
12-07-2018,41.21
12-06-2018,42.74
12-04-2018,43.22
12-03-2018,45.21
11-30-2018,43.68
11-29-2018,43.92
11-28-2018,44.26
11-27-2018,42.62
11-26-2018,42.71
11-23-2018,42.14
